year,state,state_name,summary,duration_seconds
2022,FL,Florida,heard a helicopter flashing redlights and in front of it spaced evenly were 4 bright green orbs going east,15
2022,AL,Alabama,"They were silent, my friend made a video of them.",1800
2022,CA,California,4 circular white lights darting/chasing each other behind cloud cover.,900
2022,SC,South Carolina,saw two craft (1) moving E to W and (1) moving N to S then back and a flashbulb,1200
2022,CA,California,First 7 flashes of light followed by 7 shadowy saucer shapes that stayed still. The saucers disappeared one at a time until,180
2022,CA,California,Small white cross shape object,5
2022,WA,Washington,Strange moving object in the sky,240
2022,FL,Florida,Large triangle about downtown Orlando.  ((NUFORC Note:  Lens flare.  PD)),300
2021,WA,Washington,"No Sighting, only sound",600
2021,NV,Nevada,"Sighted an odd object in the sky, in the landing pattern of McCarran airport.",900
2021,OH,Ohio,((NUFORC Note:  Witness provides no information.  PD)),5100
2021,NY,New York,"Glowing orbs changing color and staying in place over Brooklyn, NY",1800
2021,AZ,Arizona,About 9:00 pm Local time saw a bright Fluorescent orange object coming from the south west heading towards the Northeast. Made no noise,120
2021,ND,North Dakota,"Top left corner of video, towards the end you see it leap after a second one appears or maybe just how the craft travels.",900
2021,OR,Oregon,Several pictures several videos live,900
2021,TX,Texas,White/silver snake-like objec worming its way through the sky in Katy TX.  ((NUFOC Note:  Possibly a string of balloons?  PD)),900
2021,MO,Missouri,quick burst of the purest white light in the sky.,2
2021,CA,California,Bright red light hovering in sky,720
